year,name,level,agency,sector,type,instrument,description,direction,outcome
1992,UN Framework Convention on Climate Change (UNFCCC),International,UN,Cross-cutting,Framework / target-setting,International commitment,"Stabilise GHG concentrations; no binding numeric target. Ireland signed 1992, ratified 1994.",Enabling,Foundational; start of measurement record
1997,Kyoto Protocol — 1st commitment period,International,UN,Cross-cutting,Framework / target-setting,International binding commitment,Ireland permitted +13% above 1990 over 2008–2012 (within EU burden-sharing). In force 2005.,Reduce,Target met (with land-use & credits)
2000,National Climate Change Strategy (1st),National,Dept of Environment & Local Govt,Cross-cutting,Strategic / planning,Planning / coordination,First national strategy; sectoral measures toward Kyoto. Reviewed 2002.,Reduce,Largely missed; emissions rose ~31% above 1990 by 2001
2003,EU Emissions Trading System (ETS) Directive 2003/87/EC,EU,European Commission,"Power, heavy industry, (later aviation)",Market-based,Carbon price / cap-and-trade,Cap-and-trade on large installations; operational from 2005.,Reduce,Operational; emissions in ETS sector declining
2006,Ireland's Pathway to Kyoto Compliance,National,Dept of Environment,Cross-cutting,Strategic / planning,Planning,Review setting out route to Kyoto compliance; basis for 2007 strategy.,Reduce,Transitional document
2007,National Climate Change Strategy 2007–2012,National,"Dept of Environment, Heritage & Local Govt",Cross-cutting,Strategic / planning,Planning,Sectoral measures to meet Kyoto target; first adaptation section.,Reduce,"Emissions fell mainly via 2008 recession, not policy"
2007,Carbon Fund Act 2007,National,Oireachtas / NTMA,Cross-cutting,Fiscal,State purchase of Kyoto units,Established Carbon Fund to buy Kyoto units to meet international obligations.,Enabling,Used to cover shortfall
2009,2020 Climate & Energy Package — Effort Sharing Decision 406/2009,EU,European Commission,"Non-ETS (transport, buildings, agriculture, waste)",Framework / target-setting,Binding national limit,"Ireland: −20% non-ETS emissions by 2020 vs 2005, with annual limits.",Reduce,"Missed via domestic action; ~5.7% delivered, used flexibilities"
2009,Renewable Energy Directive (RED I) 2009/28/EC,EU,European Commission,Energy,Regulatory / target-setting,Mandate,Ireland: 16% of gross final energy from renewables by 2020.,Reduce,Missed (13.5% in 2020)
2010,Carbon Tax (Finance Act 2010),National,Dept of Finance / Revenue,Heat & transport fuels (non-ETS),Fiscal / Market-based,Carbon price signal,Tax on CO2 of non-ETS fuels; legislated trajectory to €100/tonne by 2030; revenue ring-fenced.,Reduce,Operational & rising; measurable demand effects
2010,Food Harvest 2020,National,"Dept of Agriculture, Food & Marine",Agriculture,Strategic / planning,Sectoral growth plan,Expansion of dairy & beef output and exports.,Increase,Contributed to rising agriculture emissions
2012,National Climate Change Adaptation Framework,National,DECLG,Cross-cutting (adaptation),Strategic / planning,Planning,First national adaptation framework.,Enabling,"Adaptation focus, not mitigation"
2014,EU milk quota abolition (CAP),EU,European Commission,Agriculture,Regulatory,Market liberalisation,End of milk quotas effective 2015; enabled dairy expansion.,Increase,"Dairy herd +~25%, milk +~41% post-2014"
2015,Paris Agreement,International,UN,Cross-cutting,Framework / target-setting,International binding commitment,"Limit warming to well below 2°C, pursue 1.5°C; NDCs. Adopted 2015; EU & Ireland ratified 2016.",Reduce,Drives EU −55% by 2030 NDC
2015,Climate Action & Low Carbon Development Act 2015,National,Oireachtas,Cross-cutting,Framework / Regulatory,Statutory framework,First Irish climate law; created Climate Change Advisory Council; National Policy Position (−80% CO2 by 2050 in energy/built/transport; carbon-neutral agriculture & land use).,Reduce,Framework in place; criticised as non-binding on targets
2015,Food Wise 2025,National,DAFM,Agriculture,Strategic / planning,Sectoral growth plan,Continued agri-food export expansion to 2025.,Increase,Associated with further emissions & water-quality pressure
2017,National Mitigation Plan,National,"Dept of Communications, Climate Action & Environment",Cross-cutting,Strategic / planning,Planning,First statutory mitigation plan under the 2015 Act.,Reduce,"Quashed by Supreme Court (2020, 'Climate Case Ireland') as too vague"
2018,Effort Sharing Regulation (EU) 2018/842,EU,European Commission,Non-ETS sectors,Framework / target-setting,Binding national limit,Ireland: −30% non-ETS by 2030 vs 2005 (later revised to −42%).,Reduce,Annual limits exceeded since 2016
2018,Renewable Energy Directive II (RED II) 2018/2001,EU,European Commission,Energy,Regulatory / target-setting,Mandate,"EU 32% renewables by 2030; sectoral sub-targets (transport, heat).",Reduce,Transposed; national RES target later raised
2018,Governance of the Energy Union Regulation (EU) 2018/1999,EU,European Commission,Cross-cutting,Framework / Regulatory,Planning / monitoring,Requires Member States to submit National Energy & Climate Plans (NECPs).,Enabling,Drives NECP cycle
2018,Project Ireland 2040 / National Development Plan,National,Government of Ireland,Cross-cutting (investment),Strategic / planning,Investment / planning,Long-term capital plan with climate-action allocations.,Mixed,Ongoing
2019,European Green Deal,EU,European Commission,Cross-cutting,Framework / strategic,Strategy / investment,"Roadmap to EU climate neutrality by 2050; spawned Fit for 55, REPowerEU, Green Deal Industrial Plan.",Reduce,Driving 2021–2023 legislation
2019,Climate Action Plan 2019,National,Government of Ireland,Cross-cutting (all sectors),Strategic / planning,Planning / sectoral actions,First detailed CAP; over 180 actions; non-statutory.,Reduce,Partially implemented; superseded by statutory CAPs
2019,National Energy & Climate Plan 2021–2030 (NECP),National,DCCAE,Energy & climate,Strategic / planning,Planning,First NECP; committed to ~7% average annual emissions cut 2021–2030.,Reduce,Updated 2024
2019,Climate Case Ireland (Supreme Court ruling 2020),National,Supreme Court,Cross-cutting (legal),Regulatory,Judicial,Friends of the Irish Environment v Government; quashed 2017 National Mitigation Plan (decided July 2020).,Reduce,Catalysed 2021 Climate Act
2020,Programme for Government 2020,National,Government of Ireland,Cross-cutting,Strategic / planning,Political commitment,Committed to 7% average annual emissions reduction and stronger climate law.,Reduce,Delivered via 2021 Act
2020,Ag Climatise — agriculture roadmap,National,DAFM,Agriculture,Strategic / planning,Sectoral roadmap,Roadmap toward climate neutrality for agriculture; a living document.,Reduce,Implementation ongoing
2021,European Climate Law (EU) 2021/1119,EU,European Commission,Cross-cutting,Framework / Regulatory,Binding target,Legally binds EU to net-zero by 2050 and net −55% by 2030 vs 1990.,Reduce,In force
2021,Fit for 55 package (adopted 2023),EU,European Commission / Council,Cross-cutting,Regulatory / Market-based,Mixed instruments,"13+ revised laws to hit −55% by 2030: revised ESR (Ireland −42% vs 2005), LULUCF, ETS reform, ETS2 (2027), CBAM (from 2026), RED III.",Reduce,Phased entry into force 2023–2027
2021,Climate Action & Low Carbon Development (Amendment) Act 2021,National,Oireachtas,Cross-cutting,Framework / Regulatory,Binding statutory framework,National climate objective: climate-neutral economy by 2050; −51% by 2030 vs 2018; 5-yr carbon budgets; sectoral emissions ceilings. Commenced Sep 2021.,Reduce,Cornerstone law; binding governance in place
2021,Climate Action Plan 2021 (Securing Our Future),National,Government of Ireland,All sectors,Strategic / planning,Sectoral pathways,First CAP under the 2021 Act; sectoral pathways to −51% by 2030.,Reduce,Updated annually thereafter
2021,Food Vision 2030,National,DAFM,Agriculture,Strategic / planning,Sectoral strategy,10-yr agri-food strategy; aims for a climate-neutral food system.,Mixed,Implementation ongoing
2022,Carbon Budgets & Sectoral Emissions Ceilings,National,Government / Climate Change Advisory Council,All sectors,Framework / Regulatory,Binding caps,Carbon budgets effective Apr 2022 (2021–25; 2026–30; 2031–35); sectoral ceilings adopted Jul 2022 (e.g. agriculture −25% by 2030).,Reduce,2021–2024 used ~81% of first 295 Mt budget
2023,Climate Action Plan 2023,National,Government of Ireland,All sectors,Strategic / planning,Sectoral actions,First statutory annual CAP; aligns actions with carbon budgets & ceilings.,Reduce,Annual review cycle
2023,Climate Action Plan 2024 (published Dec 2023),National,Government of Ireland,All sectors,Strategic / planning,Sectoral actions,Refines measures to deliver budgets & ceilings.,Reduce,In implementation
2024,Updated NECP 2021–2030 (Jul 2024),National,"Dept of Environment, Climate & Communications",Energy & climate,Strategic / planning,Planning,Renewables share raised to 43% by 2030; renewable electricity (RES-E) 80% by 2030.,Reduce,Submitted to EU
2024,"Infrastructure, Climate & Nature Fund (Budget 2024)",National,Dept of Finance,Cross-cutting (finance),Fiscal,Investment fund,"Long-term fund (€4bn by end-2025) for emissions, water-quality & biodiversity projects.",Reduce,Capitalising
2025,Climate Action Plan 2025 (published Apr 2025),National,Government of Ireland,All sectors,Strategic / planning,Sectoral actions,Third statutory annual update; read with CAP24; detailed implementation focus.,Reduce,Current plan
2030,51% Emission Reduction Target,Target,Government of Ireland,All sectors,Framework / target-setting,Statutory target,Statutory national target under the Climate Act 2021: −51% greenhouse gas emissions by 2030 relative to a 2018 baseline.,Reduce,Binding statutory milestone
2050,Climate-Neutral Ireland,Target,Government of Ireland,All sectors,Framework / target-setting,Statutory objective,National climate objective under the Climate Act 2021: a climate-neutral economy no later than 2050.,Reduce,Long-term statutory objective
